title,url
津云客户端：叶嘉莹先生南开大学首位博士生迟宝东回忆与恩师的点点滴滴——传承学术遗产 完成未竟事业,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064658.shtml
中国教育新闻网：南开学者国际权威期刊发文：社交媒体使用可显著改善中老年人抑郁,http://news.nankai.edu.cn/mtnk/system/2024/11/17/030064470.shtml
每日新报：冬季校园,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064522.shtml
央视网：长镜头 叶嘉莹：一生只为一件事 叶落归根 嘉话永传 莹莹如月,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064651.shtml
中国社会科学报：跳出【中国产能过剩论】话语陷阱,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064622.shtml
中央广电总台国际在线：蛇年邮票新鲜出炉 南开大学教授担当设计,http://news.nankai.edu.cn/mtnk/system/2024/11/19/030064512.shtml
央广网：南开学者国际权威期刊发文：社交媒体使用可显著改善中老年人抑郁,http://news.nankai.edu.cn/mtnk/system/2024/11/15/030064445.shtml
新华网： 2024年上市公司治理水平稳步提升,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064430.shtml
新华社：中华古典诗词研究专家叶嘉莹去世,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064641.shtml
天津日报：叶嘉莹先生逝世，享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064631.shtml
天津日报：天津发布6条红色资源体验线路,http://news.nankai.edu.cn/mtnk/system/2024/11/29/030064763.shtml
每日新报：冬雨冷风中 送别叶嘉莹,http://news.nankai.edu.cn/mtnk/system/2024/11/27/030064695.shtml
社会学院与津南区委社会工作部签订战略合作协议-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/25/030064625.shtml
每日新报：南开大学发布讣告 叶嘉莹先生在津逝世 享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064664.shtml
天津日报：“叶先生，一路走好！” ——南开大学师生迦陵学舍前追念叶嘉莹先生,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064599.shtml
光明日报：别了，“诗词的女儿” ——中国古典文学研究学者、南开大学讲席教授叶嘉莹逝世,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064601.shtml
中国城市报：让顾客“笑着走出理发店”的发型师带火湖南怀化文旅  “懂你之城”如何用好流量红利,http://news.nankai.edu.cn/mtnk/system/2024/11/27/030064710.shtml
新华每日电讯：叶嘉莹先生逝世，万字旧文，怀念先生！,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064610.shtml
叶嘉莹先生遗体告别仪式举行-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/30/030064774.shtml
人民网：以高质量党建引领高质量发展 第二届高校党委书记“思享汇”在南开大学举办,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064534.shtml
人民日报客户端：南开大学发布讣告：沉痛悼念叶嘉莹先生,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064638.shtml
中国日报客户端：Doyenne of Chinese poetry dies at 100,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064657.shtml
津云：天津高校3人入选！第十八届中国青年科技奖揭晓,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064546.shtml
中国新闻社：人的尊严观如何在中华文化中传承开新？,http://news.nankai.edu.cn/mtnk/system/2024/12/01/030064791.shtml
新甘肃：一株丹参苗 长成一条链——庄浪县丹参种植为乡村振兴开出“新药方”,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064544.shtml
人民日报客户端：南开“翔宇实务讲堂”开讲《市政基础设施协同服务机制新探索》,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064431.shtml
黄璐琦院士南开讲授中医药的传承与创新-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/29/030064768.shtml
大公文匯網：第二屆高校黨委書記「思享匯」暨高校黨建研究專業委員會全體委員會議在津舉行,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064533.shtml
天津教育报：南开大学团队最新研究发现 适度使用社交媒体可预防中老年人抑郁症,http://news.nankai.edu.cn/mtnk/system/2024/11/27/030064689.shtml
中国日报双语新闻客户端：叶嘉莹逝世，享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064656.shtml
中国社会科学报：计算政治学是理解人类社会系统的新工具,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064496.shtml
光明日报：安第斯文明的起源：卡拉尔—苏佩,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064734.shtml
津云：南开大学师生及各界人士深切缅怀叶嘉莹先生 让诗词之光生生不息,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064655.shtml
新华社微信公众号：再见，叶先生！,http://news.nankai.edu.cn/mtnk/system/2024/12/01/030064780.shtml
中宏网：南开大学教授马儒军获第十七届中国青年科技奖,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064589.shtml
人民网：叶嘉莹逝世，享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064604.shtml
中国新闻网：叶嘉莹追思会在天津举行：“以一灯燃百千灯”让诗词之光薪火相传,http://news.nankai.edu.cn/mtnk/system/2024/12/01/030064787.shtml
今晚报：藏书家故事 藏书被盗的陈元康,http://news.nankai.edu.cn/mtnk/system/2024/11/29/030064749.shtml
天津电视台：南开大学教授设计蛇年邮票,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064428.shtml
中国新闻网：古典文学研究学者叶嘉莹逝世 享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064637.shtml
津云客户端：南开大学联合举办2024年世界互联网大会乌镇峰会金融科技论坛,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064591.shtml
天津日报：叶嘉莹先生遗体在津火化,http://news.nankai.edu.cn/mtnk/system/2024/12/01/030064777.shtml
光明日报：《一代人师严修》：以教育家精神铺就教育兴国之路,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064531.shtml
中国经济时报：《大湾区上市公司治理评价报告（2024年）》发布公司治理水平继续提升,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064586.shtml
中国经济时报：2024年中国上市公司治理水平稳步攀升,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064420.shtml
新华网：特稿｜习近平妙喻APEC合作,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064498.shtml
今晚报：校园美景 如诗如画,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064521.shtml
今晚报：购书不问价的常景,http://news.nankai.edu.cn/mtnk/system/2024/11/22/030064569.shtml
中国教育电视台：以高质量党建引领教育强国建设,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064547.shtml
新华网：叶嘉莹先生，​一路走好​！,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064649.shtml
天津日报：追新逐绿，做优循环经济,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064729.shtml
学习时报：17、18世纪英法荷对拉丁美洲的殖民掠夺,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064492.shtml
天津日报：百岁中国古典文学研究泰斗叶嘉莹先生病逝,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064598.shtml
环球时报：Chinese poetry master Ye Jiaying dies at age 100,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064616.shtml
中央广电总台国际在线：南开联合举办“乌镇峰会”金融科技论坛,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064590.shtml
光明日报：第二届高校党委书记“思享汇” 暨高校党建研究专业委员会全体委员会议在天津举办,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064549.shtml
天津日报：引入数据技术 打通融资堵点 推动普惠金融提质升级,http://news.nankai.edu.cn/mtnk/system/2024/11/29/030064759.shtml
深圳特区报客户端：最新报告显示深圳上市公司治理水平保持领先,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064588.shtml
中国教育报：第二届高校党委书记“思享汇”举行,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064668.shtml
光明网：别了，“诗词的女儿”——中国古典文学研究学者、南开大学讲席教授叶嘉莹逝世,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064643.shtml
天津日报：完善发展服务业体制机制 激活服务业发展动力,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064493.shtml
新华财经：2024年中国上市公司治理指数再创新高,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064407.shtml
【专题】沉痛悼念叶嘉莹先生-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/25/030064626.shtml
南开大学今日推出10门叶嘉莹诗词讲座与公开课视频-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/28/030064744.shtml
